Branch | Updated | Check status | Behind/Ahead | Pull request
codex/pap-2695-ui-qol | 2026-04-28 | ✅ pass | 386 behind, 28 ahead | none
codex/pap-2946-board-qol-skills | 2026-04-30 | ✅ pass | 374 behind, 6 ahead | none
codex/pap-2946-control-plane-rollup | 2026-04-30 | ✅ pass | 377 behind, 192 ahead | none
codex/pap-2946-db-backups | 2026-04-30 | ✅ pass | 377 behind, 2 ahead | none
codex/pap-2946-issue-thread-markdown | 2026-04-30 | ✅ pass | 376 behind, 5 ahead | none
codex/pap-2946-reliability-safety | 2026-04-30 | ✅ pass | 377 behind, 2 ahead | none
codex/pap-2946-workflow-costs | 2026-04-30 | ✅ pass | 375 behind, 9 ahead | none
codex/pap-2980-mutation-boundaries | 2026-04-30 | ✅ pass | 375 behind, 3 ahead | none
codex/pap-2981-advanced-liveness-pr | 2026-04-30 | ✅ pass | 374 behind, 1 ahead | none
codex/pap-2981-reliability-pr | 2026-04-30 | ✅ pass | 375 behind, 5 ahead | none
codex/pap-3135-agent-concurrency-default | 2026-05-01 | ✅ pass | 366 behind, 2 ahead | none
codex/pap-3135-agent-skill-doc-updates | 2026-05-01 | ✅ pass | 366 behind, 4 ahead | none
codex/pap-3135-backup-schema-hardening | 2026-05-01 | ✅ pass | 366 behind, 3 ahead | none
codex/pap-3135-inbox-issue-ui-polish | 2026-05-01 | ✅ pass | 366 behind, 2 ahead | none
codex/pap-3135-live-run-comment-context | 2026-05-01 | ✅ pass | 366 behind, 2 ahead | none
codex/pap-3135-productive-recovery-continuation | 2026-05-01 | ✅ pass | 366 behind, 7 ahead | none
codex/pap-3135-workspace-routine-runs | 2026-05-01 | ✅ pass | 366 behind, 5 ahead | none
codex/pap-3658-issue-thread-notices | 2026-05-06 | ✅ pass | 316 behind, 12 ahead | none
codex/pap-3658-operator-ui-qol | 2026-05-06 | ✅ pass | 316 behind, 6 ahead | none
codex/pap-9063-assigned-backlog-liveness | 2026-05-07 | ✅ pass | 314 behind, 10 ahead | none
codex/pap-9063-issue-controls-retry-now | 2026-05-07 | ✅ pass | 314 behind, 7 ahead | none
codex/pap-9063-operator-ui-qol | 2026-05-07 | ✅ pass | 314 behind, 8 ahead | none
codex/pap-9063-sidebar-search-link | 2026-05-07 | ✅ pass | 311 behind, 3 ahead | none
codex/pap-9572-may17-branch-rollup | 2026-05-17 | ✅ pass | 250 behind, 24 ahead | https://github.com/paperclipai/paperclip/pull/6236
codex/pap-9909-tenant-async-import | 2026-05-20 | ✅ pass | 229 behind, 2 ahead | https://github.com/paperclipai/paperclip/pull/6452
codex/pap-9980-board-ui-polish | 2026-05-22 | ✅ pass | 225 behind, 3 ahead | none
codex/pap-9980-cloud-upstream-sync | 2026-05-22 | ✅ pass | 227 behind, 9 ahead | none
codex/pap-9980-plugin-runtime-hardening | 2026-05-22 | ✅ pass | 228 behind, 4 ahead | none
codex/pap-9980-runtime-import-reliability | 2026-05-22 | ✅ pass | 229 behind, 2 ahead | none
codex/pr-report-skill | 2026-03-09 | ✅ merged | 2015 behind, 0 ahead | none
codex/runtime-wake-handoff-controls | 2026-06-07 | ✅ pass | 90 behind, 4 ahead | none
copilot/fix-merge-conflicts | 2026-04-15 | ⏳ pending | 485 behind, 2 ahead | none
dependabot/github_actions/actions/checkout-6 | 2026-06-15 | ✅ pass | 14 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/8154
dependabot/github_actions/actions/download-artifact-8 | 2026-06-08 | ✅ pass | 80 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7742
dependabot/github_actions/actions/upload-artifact-7 | 2026-06-08 | ✅ pass | 80 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7743
dependabot/github_actions/docker/login-action-4 | 2026-06-15 | ✅ pass | 14 behind, 1 ahead | none
dependabot/github_actions/docker/setup-buildx-action-4 | 2026-06-15 | ✅ pass | 14 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/8155
dependabot/npm_and_yarn/agentclientprotocol/claude-agent-acp-0.42.0 | 2026-06-08 | ✅ pass | 80 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7744
dependabot/npm_and_yarn/aws-sdk/client-s3-3.1063.0 | 2026-06-08 | ✅ pass | 80 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7752
dependabot/npm_and_yarn/i18next-26.3.1 | 2026-06-08 | ✅ pass | 80 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7750
dependabot/npm_and_yarn/lexical/link-0.45.0 | 2026-06-08 | ✅ pass | 80 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7745
dependabot/npm_and_yarn/mdxeditor/editor-3.55.0 | 2026-06-08 | ✅ pass | 80 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7747
dependabot/npm_and_yarn/radix-ui-1.5.0 | 2026-06-08 | ✅ pass | 80 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7749
dependabot/npm_and_yarn/storybook/react-vite-10.4.2 | 2026-06-08 | ✅ pass | 80 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7746
dependabot/npm_and_yarn/tsx-4.22.4 | 2026-06-18 | ✅ pass | 2 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7754
dependabot/npm_and_yarn/types/multer-2.1.0 | 2026-06-08 | ✅ pass | 80 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7751
dependabot/npm_and_yarn/types/node-22.19.20 | 2026-06-18 | ✅ pass | 2 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7748
devin/plugin-tools-agent-auth | 2026-06-03 | ✅ pass | 168 behind, 3 ahead | none
docs/agent-evals-framework-plan | 2026-03-13 | ✅ merged | 1813 behind, 0 ahead | none
docs/board-operator-delegation | 2026-03-26 | ✅ pass | 1091 behind, 3 ahead | none
docs/maintenance-20260316 | 2026-03-15 | ✅ merged | 1807 behind, 0 ahead | none
docs/maintenance-20260326 | 2026-03-26 | ⏳ pending | 1197 behind, 16 ahead | none
docs/maintenance-20260326-public | 2026-03-26 | ✅ merged | 1125 behind, 0 ahead | none
docs/maintenance-20260327-public | 2026-03-27 | ✅ merged | 1090 behind, 0 ahead | none
docs/maintenance-20260328-public | 2026-03-30 | ✅ pass | 1081 behind, 8 ahead | none
docs/organize-and-date-plans | 2026-03-13 | ✅ merged | 1835 behind, 0 ahead | none
docs/PAP-10397-mcp-access-governance | 2026-06-06 | ✅ pass | 107 behind, 3 ahead | https://github.com/paperclipai/paperclip/pull/7626
docs/product-and-features-plan | 2026-03-13 | ✅ merged | 1849 behind, 0 ahead | none
dotta | 2026-03-09 | ✅ merged | 2037 behind, 0 ahead | none
dotta-march-17-updates | 2026-03-17 | ⏳ pending | 1609 behind, 1 ahead | none
dotta-memory-and-prompts | 2026-03-17 | ✅ pass | 1609 behind, 4 ahead | none
dotta-releases | 2026-03-09 | ✅ merged | 2044 behind, 0 ahead | none
dotta-sunday-ui-updates | 2026-03-15 | ⏳ pending | 1714 behind, 2 ahead | none
e2b-plugin-improvements | 2026-04-29 | ✅ pass | 378 behind, 1 ahead | none
feat/adapter-billing-mode-override | 2026-03-24 | ✅ pass | 1154 behind, 3 ahead | https://github.com/paperclipai/paperclip/pull/1735
feat/PAPA-16-idle-timeout-reaper | 2026-03-27 | ✅ pass | 1091 behind, 8 ahead | https://github.com/paperclipai/paperclip/pull/1894
feat/screenshot-utility | 2026-04-03 | ✅ pass | 974 behind, 4 ahead | none
feature/dev-restart-log-censor-followups | 2026-03-20 | ✅ merged | 1526 behind, 0 ahead | none
feature/inbox-heartbeat-company-skills | 2026-03-20 | ✅ merged | 1527 behind, 0 ahead | none
feature/plugin-runtime-instance-cleanup | 2026-03-14 | ✅ merged | 1772 behind, 0 ahead | none
feature/upgraded-costs-and-budgeting | 2026-03-16 | ✅ merged | 1673 behind, 0 ahead | none
feature/workspace-runtime-support | 2026-03-10 | ✅ merged | 1987 behind, 0 ahead | none
feature/worktree-init-copy-hooks | 2026-03-10 | ✅ merged | 1984 behind, 0 ahead | none
feature/worktree-rebind-seeded-workspaces | 2026-03-10 | ✅ merged | 1995 behind, 0 ahead | none
feature/worktree-seed-secrets-key | 2026-03-10 | ✅ merged | 2005 behind, 0 ahead | none
feature/worktree-support | 2026-03-10 | ⏳ pending | 2037 behind, 9 ahead | none
feat/worktree-and-routing-polish | 2026-03-10 | ✅ merged | 1969 behind, 0 ahead | none
feat/worktree-cleanup-and-env | 2026-03-13 | ✅ merged | 1849 behind, 0 ahead | none
fix/approval-service-idempotency | 2026-03-10 | ✅ merged | 1985 behind, 0 ahead | none
fix/canary-version-after-partial-publish | 2026-03-17 | ✅ merged | 1586 behind, 0 ahead | none
fix/codex-managed-home-followups | 2026-03-20 | ✅ merged | 1313 behind, 0 ahead | none
fix/dev-migration-flow | 2026-03-10 | ✅ merged | 1974 behind, 0 ahead | none
fix/embedded-postgres-initdbflags | 2026-03-13 | ✅ merged | 1833 behind, 0 ahead | none
fix/feedback-row-run-link | 2026-04-03 | ⏳ pending | 910 behind, 3 ahead | none
fix/feedback-test-uuid-redaction | 2026-04-03 | ✅ merged | 902 behind, 0 ahead | none
fix/github-release-origin-remote | 2026-03-18 | ✅ merged | 1567 behind, 0 ahead | none
fix/inbox-last-activity-ordering | 2026-04-03 | ✅ merged | 906 behind, 0 ahead | none
fix/issue-runs-heartbeat-regressions | 2026-03-11 | ✅ merged | 1920 behind, 0 ahead | none
fix/npm-provenance-package-metadata | 2026-03-17 | ✅ merged | 1588 behind, 0 ahead | none
fix/PAPA-28-inbox-ordering | 2026-03-29 | ✅ pass | 1081 behind, 1 ahead | none
fix/project-description-mentions | 2026-03-26 | ✅ merged | 1097 behind, 0 ahead | none
fix/revert-paperclipai-script-path-clean | 2026-03-30 | ✅ merged | 1065 behind, 0 ahead | none
fix/sidebar-scrollbar-hover-track | 2026-03-14 | ✅ merged | 1742 behind, 0 ahead | none
fix/ui-routing-and-assignee-polish | 2026-03-13 | ✅ merged | 1827 behind, 0 ahead | none
fix/unified-toggle-mobile | 2026-04-04 | ✅ merged | 863 behind, 0 ahead | none
fix/workspace-warnings-stdout | 2026-03-18 | ✅ merged | 1570 behind, 0 ahead | none
fix/worktree-auto-detect-default-branch | 2026-04-01 | ✅ pass | 964 behind, 2 ahead | none
fix/worktree-merge-history-migrations | 2026-03-20 | ✅ merged | 1311 behind, 0 ahead | none
fix/worktree-seed-and-env-quoting | 2026-03-13 | ✅ merged | 1812 behind, 0 ahead | none
fix/worktree-ui-branding | 2026-03-13 | ✅ merged | 1825 behind, 0 ahead | none
i18n-packages-only | 2026-05-15 | ✅ pass | 264 behind, 1 ahead | none
master | 2026-06-18 | ✅ merged | 0 behind, 0 ahead | https://github.com/paperclipai/paperclip/pull/7604
openclawgateway | 2026-03-07 | ⏳ pending | 2113 behind, 1 ahead | none
PAP-10015-per-use-join-leave-projects-and-agents | 2026-05-25 | ✅ pass | 218 behind, 10 ahead | none
PAP-10026-team-s-based-paperclip-not-always-a-fixed-ceo | 2026-05-19 | ✅ merged | 233 behind, 0 ahead | none
PAP-10062-paperclipai-skills-cli-tool-and-system | 2026-05-28 | ✅ pass | 214 behind, 38 ahead | none
PAP-10067-built-in-plugins-should-appear-in-the-plugins-screen | 2026-05-26 | ✅ pass | 216 behind, 7 ahead | none
pap-1007-operator-polish | 2026-03-30 | ✅ merged | 1001 behind, 0 ahead | none
pap-1007-publishing-docs | 2026-03-30 | ✅ merged | 1006 behind, 0 ahead | none
pap-1007-workspace-followups | 2026-03-30 | ✅ merged | 1004 behind, 0 ahead | none
PAP-10110-consider-this-pr-for-umbra | 2026-05-27 | ✅ pass | 214 behind, 4 ahead | none
PAP-10162-pap-10161-made-a-video-how-can-i-see-it-i-m-accessing-this-instance-through-the-cloud-and-don-t-have-access-to | 2026-05-31 | ✅ merged | 195 behind, 0 ahead | none
pap-10195-attachment-previews | 2026-06-01 | ✅ merged | 184 behind, 0 ahead | none
pap-10195-dev-runner-race | 2026-06-01 | ✅ merged | 188 behind, 0 ahead | none
pap-10195-pwa-controls | 2026-06-01 | ✅ merged | 186 behind, 0 ahead | none
PAP-1019-make-a-plan-for-first-class-blockers-wake-on-subtasks-done | 2026-04-06 | ✅ merged | 810 behind, 0 ahead | none
PAP-10211-low-trust-agent | 2026-06-05 | ✅ pass | 110 behind, 28 ahead | none
PAP-10287-teams-catalog-extraction | 2026-06-05 | ✅ pass | 146 behind, 29 ahead | none
PAP-10323-add-last30days-to-optional-skills-catalog | 2026-06-04 | ✅ merged | 147 behind, 0 ahead | none
PAP-10341-paperclip-needs-good-permissions-around-mcp-servers-consider-natoma-and-make-a-plan | 2026-06-06 | ✅ pass | 146 behind, 6 ahead | none
PAP-10353-make-an-artifact-page-that-looks-like-this | 2026-06-05 | ✅ pass | 108 behind, 14 ahead | none
PAP-10354-why-does-this-issue-show-both-a-binary-output-and-a-plan-document-the-binary-output-here-seems-like-potentiall | 2026-06-05 | ✅ pass | 111 behind, 4 ahead | none
PAP-10377-task-protocol | 2026-06-10 | ✅ pass | 109 behind, 1 ahead | https://github.com/paperclipai/paperclip/pull/7904
PAP-10415-plan-a-checkbox-confirmation-issue-ui-component | 2026-06-06 | ✅ pass | 102 behind, 7 ahead | none
PAP-10430-issue-task-split | 2026-06-06 | ✅ pass | 99 behind, 8 ahead | none
PAP-10440-for-artifacts-add-a-group-by-icon-and-allow-grouping | 2026-06-06 | ⏳ pending | 102 behind, 9 ahead | none
pap-10454-screenshots-1780754626 | 2026-06-06 | ⏳ pending | 101 behind, 8 ahead | none
pap-10456-screenshots | 2026-06-06 | ⏳ pending | 2732 behind, 1 ahead | none
PAP-10458-do-not-allow-assignment-nor-any-runs-to-terminated-agents-terminated-agents-should-be-considered-paused | 2026-06-06 | ✅ pass | 94 behind, 8 ahead | none
PAP-10464-login-accessibility-and-fields-so-1pass-knows-the-username-password-metadata-properly | 2026-06-06 | ✅ pass | 95 behind, 3 ahead | none
PAP-10471-move-these-tasks-to-agents-skills | 2026-06-06 | ✅ pass | 98 behind, 2 ahead | none
PAP-10491-move-instance-settings-to-be-a-section-below-company-settings-on-the-settings-tab | 2026-06-07 | ✅ pass | 90 behind, 2 ahead | none
PAP-10507-what-can-we-borrow-from-roughdraft | 2026-06-07 | ✅ pass | 90 behind, 25 ahead | https://github.com/paperclipai/paperclip/pull/7687
PAP-10515-right-now-the-ceo-and-cto-agents-are-in-error-state-but-there-s-no-way-to-clear-the-error-i-think-they-re-fine | 2026-06-07 | ✅ pass | 84 behind, 3 ahead | none
PAP-10613-why-is-this-task-not-running | 2026-06-08 | ✅ pass | 79 behind, 3 ahead | none
PAP-10638-collapsable-sidebar | 2026-06-09 | ✅ pass | 79 behind, 16 ahead | none
PAP-10664-diagnose-some-task-interactions | 2026-06-10 | ✅ pass | 78 behind, 9 ahead | none
PAP-10674-why-did-this-stop-i-think-this-should-at-least-be-rescheduled | 2026-06-09 | ✅ pass | 70 behind, 7 ahead | https://github.com/paperclipai/paperclip/pull/7853
PAP-10709-help-me-think-through-the-routines-ui-layouts | 2026-06-09 | ✅ pass | 69 behind, 8 ahead | none
pap-10711-add-new-claude-models | 2026-06-09 | ✅ pass | 77 behind, 1 ahead | none
PAP-10724-help-me-think-through-paperclip-workflow-primitives-and-ux | 2026-06-10 | ✅ pass | 72 behind, 11 ahead | https://github.com/paperclipai/paperclip/pull/7903
PAP-10782-pipelines-tutorial-smoke | 2026-06-12 | ✅ pass | 72 behind, 64 ahead | https://github.com/paperclipai/paperclip/pull/7907
pap-1078-inbox-operator-polish | 2026-04-02 | ✅ merged | 930 behind, 0 ahead | none
pap-1078-qol-fixes | 2026-04-02 | ✅ merged | 922 behind, 0 ahead | none
pap-1078-workspaces-routines | 2026-04-02 | ✅ merged | 930 behind, 0 ahead | none
PAP-107-add-a-feedback-button | 2026-06-09 | ✅ pass | 73 behind, 2 ahead | none
PAP-10803-routine-originkind | 2026-06-10 | ✅ pass | 72 behind, 13 ahead | none
PAP-10830-pipelines-aggregation | 2026-06-10 | ✅ pass | 72 behind, 15 ahead | none
PAP-10846-design-a-new-skills-store | 2026-06-11 | ✅ pass | 46 behind, 25 ahead | none
pap-10854-tool-access-merge | 2026-06-11 | ✅ pass | 57 behind, 38 ahead | https://github.com/paperclipai/paperclip/pull/7958
PAP-10869-line-b-rescue | 2026-06-10 | ⏳ pending | 62 behind, 14 ahead | none
PAP-11205-don-t-let-the-ceo-of-one-company-do-anything-with-other-companies | 2026-06-18 | ✅ pass | 4 behind, 4 ahead | https://github.com/paperclipai/paperclip/pull/8276
pap-11234-control-plane-annotations-workspaces | 2026-06-17 | ✅ pass | 13 behind, 11 ahead | https://github.com/paperclipai/paperclip/pull/8229
pap-11234-hermes-custom-provider-extra-args | 2026-06-17 | ✅ pass | 13 behind, 2 ahead | none
pap-11234-okf-knowledge-skill | 2026-06-17 | ✅ pass | 13 behind, 2 ahead | none
pap-11234-ui-polish | 2026-06-17 | ✅ pass | 13 behind, 2 ahead | https://github.com/paperclipai/paperclip/pull/8228
PAP-1132-assistant-ui-pap-1131-make-issues-comments-be-like-a-chat | 2026-04-07 | ✅ merged | 645 behind, 0 ahead | none
PAP-1139-consider-a-signoff-required-execution-policy | 2026-04-07 | ✅ merged | 690 behind, 0 ahead | none
pap-1167-app-ui-bundle | 2026-04-07 | ✅ merged | 748 behind, 0 ahead | none
pap-1167-mcp-server-package | 2026-04-07 | ✅ merged | 736 behind, 0 ahead | none
pap-1167-runtime-worktree-hardening | 2026-04-07 | ✅ merged | 785 behind, 0 ahead | none
pap-1177-refresh-lockfile-pr | 2026-04-07 | ✅ merged | 728 behind, 0 ahead | none
pap-1266-dev-tooling | 2026-04-09 | ✅ pass | 553 behind, 2 ahead | none
pap-1266-issue-workflow | 2026-04-09 | ✅ merged | 551 behind, 0 ahead | none
pap-1266-routines | 2026-04-09 | ✅ merged | 551 behind, 0 ahead | none
PAP-1280-detailed-ux-and-technical-plan-for-deliverables-work-product-feature | 2026-04-21 | ✅ pass | 461 behind, 7 ahead | none
PAP-1293-technical-plan-memory-service-implementation-blueprint | 2026-04-20 | ✅ pass | 462 behind, 17 ahead | none
pap-1298-issue-inbox-followups | 2026-04-10 | ✅ pass | 547 behind, 2 ahead | none
pap-1298-runtime-routines-followups | 2026-04-10 | ✅ pass | 539 behind, 11 ahead | none
pap-1343-invite-ttl-72h | 2026-04-11 | ✅ pass | 516 behind, 4 ahead | none
pap-1347-codex-fast-mode | 2026-04-11 | ✅ merged | 514 behind, 0 ahead | none
pap-1347-dev-runner-worktree-env | 2026-04-11 | ✅ merged | 514 behind, 0 ahead | none
pap-1347-inbox-issue-search | 2026-04-11 | ✅ merged | 513 behind, 0 ahead | none
PAP-1355-right-now-when-agents-boot-they-re-instructed-to-call-the-api-to-checkout-the-issue-so-that-they-have-exclusive | 2026-04-12 | ✅ merged | 501 behind, 0 ahead | none
pap-1356-single-pr | 2026-04-11 | ⏳ pending | 506 behind, 2 ahead | none
PAP-1427-security-advisory-superissue-4-13 | 2026-04-15 | ⏳ pending | 485 behind, 12 ahead | none
pap-1469-exec-reliability | 2026-04-14 | ✅ pass | 492 behind, 32 ahead | none
pap-1469-issue-ux | 2026-04-14 | ✅ pass | 493 behind, 33 ahead | none
pap-1469-workspace-nav | 2026-04-14 | ✅ pass | 492 behind, 24 ahead | none
pap-1497-dev-workflow | 2026-04-15 | ✅ pass | 484 behind, 3 ahead | none
pap-1497-heartbeat-runtime | 2026-04-15 | ✅ pass | 484 behind, 5 ahead | none
pap-1497-issue-routine-ui | 2026-04-15 | ✅ pass | 484 behind, 16 ahead | none
PAP-1528-missions-in-paperclip-make-a-plan | 2026-04-17 | ✅ pass | 471 behind, 9 ahead | none
PAP-1542-consider-the-plan-and-work-for-missions-we-should-make-a-it-a-plugin | 2026-04-22 | ✅ pass | 439 behind, 16 ahead | none
PAP-1551-create-the-conference-room-where-you-chat-with-the-ceo | 2026-04-20 | ⏳ pending | 372 behind, 7 ahead | none
PAP-1574-why-does-openclaw-try-so-hard-what-s-part-of-its-secret-sauce-to-code-for-a-long-time-and-be-long-running | 2026-04-19 | ✅ pass | 468 behind, 11 ahead | none
PAP-1575-perform-a-security-audit-of-every-api-route-and-its-permissions-and-boundaries-every-single-api-route | 2026-04-20 | ✅ pass | 461 behind, 12 ahead | none
PAP-1627-sidebar-memories-route | 2026-04-20 | ✅ pass | 462 behind, 1 ahead | none
PAP-1641-create-super-detailed-storybooks-for-our-project | 2026-04-20 | ✅ pass | 454 behind, 17 ahead | none
PAP-1692-did-we-accidentally-deadlock-the-dependencies-are-we-being-smart-about-the-dag-of-blocked-dependencies | 2026-04-20 | ✅ pass | 452 behind, 4 ahead | none
PAP-1709-plan-suggested-tasks | 2026-04-21 | ⏳ pending | 441 behind, 25 ahead | none
PAP-1738-this-task-sequence-seems-blocked-why-is-it-a-harness-issue | 2026-04-21 | ✅ pass | 448 behind, 8 ahead | none
PAP-1755-we-should-write-about-these-systems-in-the-readme-md | 2026-04-21 | ✅ pass | 440 behind, 3 ahead | none
PAP-1796-we-need-a-way-to-pause-cancel-restore-a-whole-tree-of-issues-and-subissues-and-i-m-not-sure-of-the-right-produc | 2026-04-23 | ✅ pass | 437 behind, 8 ahead | none
PAP-1953-plan-a-file-viewer-that-lets-us-view-files-relative-to-a-project | 2026-06-09 | ✅ pass | 73 behind, 46 ahead | none
pap-2115-company-skill-detail-loading | 2026-04-24 | ✅ pass | 432 behind, 4 ahead | none
pap-2115-issue-thread-review-flow | 2026-04-24 | ⏳ pending | 432 behind, 23 ahead | none
pap-2115-markdown-issue-ref-rendering | 2026-04-24 | ✅ pass | 432 behind, 10 ahead | none
pap-2115-transient-recovery-codex-refresh | 2026-04-24 | ✅ pass | 432 behind, 8 ahead | none
pap-2115-watchdog-recovery-followups | 2026-04-24 | ✅ pass | 428 behind, 20 ahead | none
pap-2147-create-agent-skill-phase-1 | 2026-04-24 | ✅ pass | 432 behind, 24 ahead | none
PAP-2189-how-can-we-make-ordered-subissues-present-more-as-the-todolist | 2026-04-25 | ✅ pass | 415 behind, 9 ahead | none
pap-2228-create-agent-governance | 2026-04-24 | ✅ pass | 428 behind, 3 ahead | none
pap-2228-editor-composer-polish | 2026-04-24 | ✅ pass | 428 behind, 11 ahead | none
pap-2228-runtime-lifecycle-recovery | 2026-04-24 | ✅ pass | 424 behind, 41 ahead | none
pap-2228-test-local-maintenance | 2026-04-24 | ✅ pass | 425 behind, 14 ahead | none
PAP-2239-plan-object-detection-of-urls-and-sidebar-statuses-but-in-a-general-way | 2026-04-27 | ✅ pass | 409 behind, 20 ahead | none
PAP-2251-deal-with-this-issue | 2026-05-06 | ✅ pass | 318 behind, 5 ahead | none
pap-2260-heartbeat-retry-cancel | 2026-04-24 | ✅ pass | 423 behind, 2 ahead | none
pap-2260-markdown-link-polish | 2026-04-24 | ✅ pass | 423 behind, 2 ahead | none
pap-2260-text-newlines | 2026-04-24 | ✅ pass | 423 behind, 2 ahead | none
pap-2260-vitest-route-stability | 2026-04-24 | ✅ pass | 423 behind, 2 ahead | none
pap-2260-watchdog-access | 2026-04-24 | ✅ pass | 423 behind, 2 ahead | none
